sentences|sentiments
thầy tận_tình vui_tính|2
cô lại kiểu khó_tính nữa|0
tạo hứng_thú cho sinh_viên|2
cô giảng hay cuốn_hút và truyền_đạt dễ hiểu|2
có hứng_thú học|2
ôn_tập đúng theo thầy nhưng không biết cuối kỳ được mấy điểm|1
giảng_viên hướng_dẫn cụ_thể chi_tiết|2
giáo_trình quá ít và nội_dung không khác nhau là mấy|0
giáo_viên nghỉ dạy liên_tục cuối học_kỳ lại tăng học bù những tiết học bù đó đã ảnh_hưởng đến những đồ_án và trễ deadline|0
giáo_viên lúc dạy lúc không không dạy cũng không thông_báo sinh_viên tốn thời_gian công_sức tiền_bạc rồi ngồi đợi và đi về|0
cần có một phòng máy tốt hơn hiện_đại hơn|0
thầy nên cho làm bài tập tương_tự nhau nhiều hơn một_vài bài để tránh tình_trạng quên hoặc các dạng tựa nhau nhưng hơi khác cách làm|0
không ngờ môn này lại chán đến như vậy không học được gì từ môn này thầy dạy chán kinh_khủng hay đi trễ từ 30 45 phút không nhiệt_tình|0
giảng_viên đánh_giá sai điểm và năng_lực của học_sinh|0
không đáp_ứng được đề_cương môn_học đề ra|0
thầy nên hướng_dẫn thực_hành nhiều hơn|0
giảng_viên thân_thiện quan_tâm tới sinh_viên|2
môn lập_trình hướng đối_tượng nên cập_nhật thêm những nội_dung mới dễ hiểu và giảng_giải cụ_thể hơn|0
giáo_viên nhiệt_tình tâm_huyết khả_năng truyền_đạt tốt|2
thầy dạy rất tốt và nhiệt_tình|2
cô nói hơi nhỏ nếu lớp ồn sẽ khó nghe|0
bài tập cô đưa ra nhiều và khó tìm_hiểu với kiến thực_hiện tại của sinh_viên thì khó có_thể tìm_hiểu và làm tốt bài_tập cô ra|0
bài tập và hoạt_động nhóm còn ít|0
giảng_viên rất nhiệt_tình phương_pháp giảng_dạy hay sinh_viên nắm_bắt kiến_thức ngay trên lớp|2
cô hướng_dẫn thực_hành khá đầy_đủ|2
được học nhiều kinh_nghiệm từ thầy <name>|2
kiến_thức của thầy rất tốt bảo_đảm giờ lên lớp|2
hiện_tại em chưa thấy tác_dụng gì nhiều khi học môn này|0
cải_thiện lại cơ_sở_vật_chất máy chiếu trong phòng_học|0
dạy không phù_hợp với cách học của em|0
giải_thích nội_dung mới rõ_ràng|2
lớp học quá đông|0
môn căn_bản mà thầy không dạy cho sinh_viên kỹ gây không hiểu mất căn_bản|0
giảng_viên chưa cho bài_tập về nhà để sinh_viên làm_nên cho 5 bài mỗi chương không cần chữa chỉ cần đáp_án|0
mà hiện_tại trường ta chưa có đây là thiệt_thòi lớn đối_với tụi em|0
tôi cảm_thấy giảng_viên dạy rất tốt|2
không biết thầy nào dạy chính_thức mà học thường nghỉ không thông_báo trước để sinh_viên đứng chờ sắp hết tiết rồi tự về nhiều lần|0
cần có sự tương_tác giữa giảng_viên và sinh_viên nhiều hơn|0
giảng_viên thân_thiện nhiệt_tình cởi_mở|2
giáo_viên có mời các công_ty về trình_bày giúp sinh_viên cập_nhật kiến_thức thực_tiễn|2
coi lại thái_độ giảng_viên thực_hành|0
giảng_viên nhiệt_tình giải nhiều bài tập|2
bài giảng của thầy rất nhiệt_tình|2
môn_học chưa thực_tiễn chưa thu_hút sinh_viên|0
dạy hơi nhanh|0
ít làm bài tập|0
giảng bài kém thu_hút vị_trí đứng giảng không hợp_lý ôn_tập cuối kỳ còn chưa tập_trung vào vấn_đề|0
giảng_viên nhiệt_tình bài_giảng thu_hút|2
nhờ thầy và giảng_viên lý_thuyết em đã hiểu rõ về môn này rất nhiều|2
môn này khá trừu_tượng nên mong thầy có nhiều liên_tưởng tới thực_tiễn hơn để chúng_em có_thể hiểu|0
cần thêm nhiều tài_liệu cho sinh_viên|0
bài tập trên lớp|1
tăng số tiết dạy lên để sinh_viên có nhiều cơ_hội hỏi đáp thắc_mắc về môn_học|0
thầy nhiệt_tình dễ hiểu|2
thực_hành và lý_thuyết nên dạy song_song|0
giảng_viên dạy nhanh|0
bài tập trên lớp nên được giới_thiệu ngay từ đầu tiết học để học_sinh không tốn thời_gian đọc đề cũng như có_thể suy_nghĩ cách giải cùng lúc với việc nghe giảng|0
giảng_viên cho bài_tập hay|2
cập_nhật bài_tập mới|0
lên lớp ai làm_việc người ấy thầy không có giảng gì thêm|0
tận_tâm nhiệt_tình quan_tâm đến sinh_viên|2
phản_hồi giải_đáp thắc_mắc cho sinh_viên|2
dạy quá nhanh|0
mong ban thiết_bị sớm khắc_phục ạ|0
môn này cần làm đề_tài để áp_dụng lý_thuyết vào thực_tiễn mà trên lớp chỉ học một đống lý_thuyết và hiếm ai nhớ đa_số khá buồn_ngủ khi lên lớp|0
giảng_viên nên đổi_mới phương_pháp giảng_dạy tránh thô cứng không hấp_dẫn sinh_viên|0
nhiệt_tình tạo cách chủ_động cho học_sinh tiếp_cận với môn_học và tham_gia các chương_trình phong_trào liên_quan để nâng cao kỹ_năng|2
cô dạy rất tận_tình dễ hiểu|2
không đáp_ứng được nhu_cầu của sinh_viên|0
thầy rất nhiệt_tình với chúng_em và điều này làm em rất hài_lòng|2
cách giảng_dạy của thầy rất hay và có phần dễ hiễu|2
nhiệt_tình dễ_thương|2
không hướng_dẫn đồ_án|0
em xin đề_nghị nhà_trường nên bổ_sung tài_liệu về môn_học và cập_nhật nội_dung|0
chép bài rất nhiều lãng_phí thời_gian nghe giảng|0
em không học thầy <name> kỳ này giáo_viên thực_hành có 2 người nên có_lẽ daa nhầm|0
đề thi môn dài sinh_viên làm không đủ thời_gian|0
cho làm nhiều bài test|0
theo em thì nên thi phòng máy nào có visual 2013 trở lên|0
cần thêm nhiều tài_liệu cho môn_học|0
thầy giảng_dạy tốt|2
mong thầy có_thể hướng_dẫn cách cụ_thể nhất cho những bài khó|0
thầy cần cho bài_tập và hướng_dẫn nhiều hơn|0
giáo_viên lên_lớp đúng giờ giảng bài sôi_động|2
em thấy thầy chỉ giảng cho có|0
cần xác_định rõ mục_đích môn_học và cho sinh_viên đề_cương chi_tiết môn_học trước khi bắt_đầu|0
thầy nói_chuyện với sinh_viên rất tự_nhiên chia_sẻ kinh_nghiệm thực_tế|2
dạy theo sát chương_trình|2
cung_cấp thêm trang_thiết_bị phục_vụ nhu_cầu môn_học|0
đề_nghị nâng_cấp phòng lab khoa mạng|0
thầy giảng hay và tâm_huyết bài giảng có tính thực_tiễn cao|2
đi dạy đúng giờ|2
thầy cung_cấp nhiều kiến_thức mới thầy dạy tận_tâm và nhiệt_tình|2
có tăng thêm nhiều ví_dụ để minh_họa cho lý_thuyết vì có nhiều phần lý_thuyết rất trừu_tượng|2
các yêu_cầu về đồ_án môn_học nên đươc đưa ra chính_xác trước khi sinh_viên bắt_đầu thực_hiện chia nhóm và làm đồ_án|0
dạy dễ hiểu dễ tiếp_thu tập_trung vài kiến_thức trọng_tâm|2
dạy chưa được kỹ lắm điểm nên thoáng hơn|0
chưa chuẩn_bị kỹ bài giảng để có_thể trả_lời các thắc_mắc của sinh_viên trên lớp|0
cô khá tận_tâm cho học_sinh|2
cần cải_cách lại nội_dung các bài thực_hành một_số kiến nội_dung trong bài thực_hành đã trở_nên lỗi_thời|0
giảng_viên có khả_năng truyền_đạt kiến_thức tốt|2
cho làm nhiều bài tập|0
nghiên_cứu khoa_học|1
giáo_viên dạy rất tận_tâm nhiệt_tình|2
thầy cô hướng_dẫn đồ_án hệ_thống thông_tin cần có thêm một_vài buổi gặp_mặt với sinh_viên và đưa ra lịch cố_định trên trường để sinh_viên thắc_mắc có_thể lên hỏi trực_tiếp|0
chỉ thông_báo trên lớp sẽ khó tránh sai_sót|0
cô viết ở góc bảng gần chổ bụt giảng khiến nhiều khi khó quan_sát được ạ|0
đề_nghị lắp thêm quạt|0
dạy kỹ|2
bài tập cần đa_dạng hơn|0
nói rất nhỏ|0
có lúc làm bài sai giáo_viên nói làm hơi tự_ái|0
không sửa các bài_tập thực_hành|0
em chưa hiểu rõ cách_thức chấm điểm bài kiểm_tra thực_hành|0
làm bài tập nhiều mặc_dù không hiểu lắm|0
thi_thoảng nghỉ học không thông_báo trên daa|0
thầy dạy dễ hiểu tiết học dễ hiểu sôi_nổi|2
thầy giảng_dạy nhiệt_tình truyền_cảm|2
giảng_dạy rất chi_tiết dễ hiểu và dễ tiếp_thu|2
truyền_đạt những kiến_thức tốt|2
cô vui_tính|2
nếu có thì chỉ hướng_dẫn bằng lý_thuyết mà không làm bài tập mẫu cho sinh_viên|0
cô chưa có nhiều kênh bài_tập cho sinh_viên|0
bạn nào khá thì có_thể áp_dụng công_thức vào bài_tập cả lớp chưa đến 30 còn thực_sự hiểu môn_học thì rất ít người hiểu|0
thầy dạy hơi nhanh|0
ít hướng_dẫn sinh_viên trong giờ thực_hành|0
không thực_hành được buổi nào|0
thầy dạy phần lý_thuyết hay nắm_bắt được khả_năng của sinh_viên|2
ví_dụ đề_tài của em là doubledot các nguyên_lý cơ_bản bao_gồm 7 nguyên_tắc của bohm 1983|1
giáo_viên nhiệt_tình dạy dễ hiểu tận_tình với sinh_viên|2
tân tâm nhiệt_tình trong lớp lẫn bên ngoài|2
thầy giảng_dạy tận_tâm nhiệt_tình|2
thầy vui_tính giảng bài dễ hiểu nhiệt_tình|2
thầy_giáo dạy nhiệt_tình|2
dạy dễ hiểu gần_gũi sinh_viên|2
cô dạy rất nhiệt_tình và tài_liệu của cô rất cụ_thể dễ hiểu cô hướng_dẫn rất tận_tình|2
mong thầy cố_gắng trong các học_kỳ sau|0
cần đưa ra nhiều ví_dụ minh_họa hơn|0
giảng_viên hoà_đồng vui_vẻ chỉ giảng tận_tình sinh_viên ham học_hỏi|2
giảng_viên không dạy một tiết_thực_hành nào|0
không|1
nên có sự thống_nhất giữa các giảng_viên bộ_môn trong đề_cương giảng_dạy|0
có những phần kiến_thức chỉ một nửa lớp được học nhưng giảng_viên nghĩ là cả lớp đã học rồi nên chỉ overview những sinh_viên còn lại khó nắm được|0
máy_tính cập_nhật nhanh hơn|0
vui hòa đồng_nhiệt_tình|2
có giúp_đỡ sinh_viên học_tập nghiên_cứu|2
giảng_viên tận_tâm nhiệt_tình ham học_hỏi|2
tuy_nhiên cô nên cân_nhắc lại về số_lượng yêu_cầu đối_với sinh_viên để sinh_viên không bị khớp vì quá nhiều dẫn đến làm qua_loa cho có như vậy thì kết_quả lại không tốt|0
cô rất tận_tâm rất ok em rất thích cách dạy và học của cô mặc_dù hơi nhanh tí|2
mong thầy và nhà_trường xem_xét lại những điều em vừa nói|0
thầy tận_tâm nhiệt_tình tạo động_lực cho sinh_viên|2
thầy_giáo tận_tình dạy kỹ thường đưa ra câu hỏi để xem_xét mức_độ hiểu_biết của sinh_viên|2
cần tăng cương trao_đổi giữa sinh_viên và giáo_viên|0
nói_chung là nghe không bao_giờ nghe rõ được|0
cách truyền_đạt của giáo_viên chưa có sức hút đối_với sinh_viên nhiều cho lắm|0
cô_giáo thân_thiện dễ gần thực_hành nhiều|2
chưa tiếp_thu trọn_vẹn|0
cần cải_tiến trang thiết_thực_hành|0
giảng kỹ hơn|0
còn hơi kéo thời_gian|0
có nhiều bài tập về nhà cơ_bản lẫn nâng cao và giảng_viên sửa bài đủ|2
thầy rất hiền và kiên_trì giảng_dạy cho lớp mặc_dù môn_học này đối_với em không được hứng_thú lắm|0
đôi lúc giảng bài hơi nhanh|0
có một_số buổi không đi dạy|0
thầy nhiệt_tình và dạy dễ hiểu|2
có kiến_thức nền_tảng này sinh_viên có_thể học thêm bất_kỳ_công_nghệ cụ_thể nào đó dễ_dàng cũng như tiếp_thu thay_đổi công_nghệ mới nhanh_chóng|2
cấu_trúc đề_cương của thầy chưa rõ_ràng lý_thuyết chưa được trình_bày rõ trong các buổi học|0
tài_liệu hỗ_trợ toàn tiếng anh rất khó học|0
chưa nhận được gì từ môn_học này|0
giảng_viên không hề giảng_dạy chỉ đưa đề_cương rồi thôi|0
bài tập mỗi tuần đều có và đầy_đủ|2
em xin cảm_ơn|2
thầy cần phải cho sinh_viên biết được học môn này có tác_dụng gì và làm được gì khi học xong|0
đề_nghị tăng thời_gian thưc hành|0
không được làm những chuyện riêng trong lúc dạy thực_hành|0
hỗ_trợ thêm giáo_trình không phải slide cho sinh_viên|0
cô <name> rất vui và nhiệt_tình|2
giáo viện nhiệt_tình tận_tâm|2
kiến_thức được giảng_viên trình_bày rõ_ràng dễ hiểu cho sinh_viên|2
cần thêm nhiều kit để thực_hành|0
dạy khó hiểu quá nhanh|0
luôn gần_gũi tham_khảo ý_kiến sinh_viên và thống_nhất cũng sinh_viên|2
sắp_xếp lịch học bù chưa hợp_lý|0
nhà_trường nên đưa môn_học này vào thời_khóa_biểu bắt_buộc ở học_kỳ 1 của các sinh_viên năm nhất nhằm giúp các em nắm biết được mình nên học gì mình có nên chuyển_đổi ngành hay không|0
thời_gian thực_hành cần nhiều hơn|0
giảng_viên rất nhiệt_tình trong giảng_dạy|2
slide chuẩn_bị chưa tốt|0
thầy hay đòi_hỏi sinh_viên những điều hơi quá cao|0
cô giảng hướng_dẫn_nhiệt_tình|2
chúng em đã gặp khó khắn với khổ giấy nhỏ mô_hình thì lớn và phức_tạp|0
giảng quá nhiều không đánh vào trọng_tâm|0
em không muốn nói gì nhưng mong thầy xem lại cách đánh_giá sinh_viên để công_bằng hơn cái sinh_viên không biết không phải chỉ ở cúp tiết mà_còn ở cách giảng_dạy truyền_đạt ở giảng_viên ví_dụ như cô <name> rất dễ hiểu tận_tâm|0
cô có nhiều hình_thức giảng_dạy hay|2
hơi khó|0
thầy đi trễ|0
giảng tốt|2
nói mở_rộng nhiều vấn_đề về môn_học|2
cần tăng_cường nội_dung nghe và nói để sinh_viên giao_tiếp tốt hơn bằng tiếng anh|0
giảng_viên tạo điều_kiện làm nhiều bài tập|0
hỗ_trợ thêm về các thiết_bị dạy và học|0
ít giải bài_tập trên lớp|0
chia_sẻ|1
bám sát nội_dung chính|2
cần thêm các đoạn code cho các giải_thuật bổ_sung các phương_pháp để giải_quyết các bài_toán liệt_kê|0
thông_tin đầy_đủ về bài_tập và các nguồn tham_khảo|2
cô tận_tâm nhiệt_tình phương_pháp dạy dễ hiểu|2
thầy giảng rất dễ hiểu và thú_vị thu_hút|2
hướng_dẫn chi_tiết về cách thực_hành|2
giảng_viên chỉ cho đồ_án và giải_đáp các yêu_cầu đồ_án không cung_cấp tài_liệu hay hướng_dẫn cơ_bản sinh_viên tự tìm_hiểu với lý_do là hệ tài_năng nên cần tự xoay sở|0
môn_học toàn kiến_thức mới_mẻ giảng_viên nên giảng chi_tiết hơn|0
đến khi cuối kỳ chỉ cần sinh_viên mắc một sai_sót nhỏ thì sẽ rớt môn|0
cần thay_đổi cách dạy và nội_dung học của phần thực_hành các bài thực_hành hiện_tại của môn mạng máy_tính chưa đảm_bảo hiệu_quả|0
thầy dạy hay tận_tình góp_ý từng bài|2
cơ_sở_vật_chất phỏng máy không đủ phích cắm cho dụng_cụ thực_hành và số_lượng sinh_viên máy còn tiềm_ẩn nhiều virus|0
trên lớp lý_thuyết giảng_viên yêu_cầu sinh_viên phải thực_hiện đồ_án theo những gì mình hướng_dẫn những nhóm sinh_viên bổ_sung thêm những liên_hệ thực_tiễn đều bị cho là sai không phù_hợp với đồ_án|0
thầy giảng bài hay và hiệu_quả|2
giảng_viên nhiệt_tình vui_vẻ|2
phòng học nên có rèm che sáng để khi chiếu slide được nhìn rõ hơn|0
chương_trình dạy lý_thuyết và thực_hành nên khớp với nhau hơn tránh tình_trạng thực_hành trước khi học lý_thuyết|0
thầy giảng_dạy nhiệt_tình dễ hiểu|2
mong giảng_viên ngày_càng chấn_chỉnh việc dạy_học để các khoá sau được hiểu tốt hơn|0
thầy dạy rất có tâm và giảng cho sinh_viên rất nhiều thứ|2
nội_dung khảo sat quá dài nhiều mục lặp đi lặp lại nhiều bạn khảo_sát mà không cần đọc toàn tích chàn|0
dạy tốt và rất nhiệt_tình chỉ dạy hoc sinh|2
nhiệt_tình tân tâm|2
nhưng học mới thấy kiến_thức thầy dạy rất hay bám sát thực_tế thầy dạy rất nhiệt_tình vui_vẻ khác với mọi người nói|2
bài tập rất hay|2
thầy cô cần cho nhiều dạng bài tập sát với đề thi hơn|0
thầy giảng hay nhưng nên tự_tin hơn nói to hơn để học_sinh hiểu bài một_cách rõ_ràng hơn|2
mong thầy vui_tính gần_gũi với sinh_viên hơn|2
giáo_viên vui_tính hòa đồng_nhiệt_tình|2
cung_cấp kiến_thức trọng_tâm|2
cố_gắng truyền_đạt một_cách tốt nhất để sinh_viên được hiểu|2
giọng của giảng_viên nhỏ dù đã sử_dụng micro|0
dù phương_pháp_học_tập này khá hiệu_quả nhưng vẫn có chút nào đó nghi_ngờ từ phần thuyết_trình của các bạn liệu các kiến_thức đó có chuẩn_xác và cập_nhật chưa|1
giáo_viên có phong_cách giảng_dạy nghiêm_túc|2
cô rất vui_tính nà không_khí lớp lúc_nào cũng vui hết cô dạy rất hay dễ hiểu|2
giảng_viên giảng_dạy rất tốt thường_xuyên cung_cấp thêm nhiều kiến_thức|2
thầy luôn nhiệt_tình có những chia_sẻ rất gần_gũi với sinh_viên|2
có khả_năng truyền_đạt tốt|2
thậm_chí còn không có bài nào khó bằng các bài trong nội_dung của lớp chuyên tin ở các trường cấp 3|0
thầy dạy tận_tụy và tâm_huyết|2
thầy nên có cách dạy mới cho môn_học này để được kết_quả tốt cho tất_cả mọi người thay_vì để rớt rất nhiều người|0
lịch thi thực_hành cần được thông_báo sớm tới sinh_viên và phù_hợp với thời_gian môn_học|0
cô nên giảng kỹ và chi_tiết từng bài vì nhiều bài đa_số các bạn chưa hiểu thì cô lại giảng nhanh để chuyển qua bài khác|0
dạy tốt đúng trọng_tâm những gì cần biết|2
nhiệt_tình lên_lớp đúng giờ dạy dễ hiểu|2
nếu em buồn_ngủ dù lên_lớp em vẫn sẽ ngủ mà ngủ ở trên lớp thì đau_lưng và tê chân lắm|0
cơ_mà em học môn này em hiểu colonlove|2
thiếu kinh_nghiệm truyền_đạt|0
bài giảng thú_vị|2
em nghĩ nội_dung thực_hành nên gần với đồ_án hơn|0
thầy nhiệt_huyết và giảng bao_quát đề_cập đến nhiều khía_cạnh của bài_học vấn_đề|2
giảng_viên giảng bài kỹ|2
hệ_thống đồ_án chấm điểm theo mức_độ hoàn_thành của sinh_viên tạo sự ganh_đua không hề nhẹ với những nhóm làm chung đồ_án kích_thích sáng_tạo không ngừng tìm_hiểu xây_dựng thêm chức_năng mới cho đồ_án nếu muốn được điểm cao|2
nhiệt_tình tâm_huyết|2
ít chú_trọng phần ngữ_pháp|0
giảng_viên còn chưa tận_tâm phong_cách giảng_dạy chưa thu_hút được sinh_viên|0
giảng rất dễ hiểu hướng_dẫn làm thực_hành tốt|2
thầy dạy rất nhiệt_tình khi dạy thầy luôn đi tới từng sinh_viên để hướng_dẫn|2
giảng_viên nhiệt_tình trong giảng_dạy và chấm điểm|2
cách truyền_đạt kiến_thức đối_với em là rất hiệu_quả trao_đổi bài với sinh_viên cô rất nhiệt_tình|2
giảng_dạy hay dễ hiểu tận_tình|2
kiến_thức rộng kinh_nghiệm thực_tế nhiều truyền_cảm_hứng cho sinh_viên|2
cách dạy sáng_tạo|2
giảng bài dễ tiếp_thu|2
em rất hài_lòng với cô|2
thầy dạy dễ hiểu sinh_động|2
cô chưa nắm_bắt được thực_trạng học của sinh_viên|0
ảnh_hưởng đến tiến_độ học_tập và quỹ thời_gian của sinh_viên do học bù|0
cô giảng bài dễ hiểu|2
điều em hài_lòng nhất đó là thầy đi rất đúng giờ và không dạy quá nhanh|2
nên có giáo_trình thống_nhất cho tất_cả các lớp và học_kỳ học|0
em nghĩ cần có các bài_tập lớn để nâng cao khả_năng lập_trình của các sinh_viên|0
rất nhiệt_tình với sinh_viên|2
giảng_viên có phương_pháp giảng_dạy hay cập_nhật phù_hợp với sinh_viên|2
giảng_dạy tốt và có tâm|2
dạy lý_thuyết hơi nhiều|0
giảng_viên chấm_bài quy_chụp theo kết_quả|1
thời_lượng môn_học quá dài sinh_viên cảm_thấy mệt_mỏi|0
giảng_viên vui_tính dễ tương_tác với sinh_viên|2
nhiệt_tình hay giúp_đỡ sinh_viên khi không biết cho nhiều bài tập|2
thầy cho điểm phần_nào còn theo cảm_tính chưa được công_bằng|0
thầy giảng_dạy rất nhiệt_tình|2
thầy nhiệt_tình bài_giảng phong_phú đa_dạng|2
không có gì đặc_biệt|1
mỗi tháng chỉ gặp giảng_viên một lần rất khó cho việc học_hỏi hướng_dẫn từ giáo_viên|0
thầy nên chuẩn_bị riêng một slide cho mình để giảng_dạy không nên lấy slide của người khác rồi đến khi sơ_sót thầy lại lấy cái lý_do đây không là slide của tôi cái này tôi cũng không rõ nữa|0
thầy cho làm các bài_tập tại lớp trong khi sinh_viên chưa biết gì về vấn_đề đó|0
đôi khi đi quá sâu vào một vấn_đề bên lề|0
giảng_viên dạy tận_tâm nhiệt_tình dễ hiểu|2
cô thật nhiệt_tình|2
phòng thực_hành tốt|2
nói_chuyện lan_man không liên_quan đến môn_học quá nhiều|0
giảng_viên rất tận_tâm|2
phân_bổ hợp_lý thời_gian học và nên cho xem nhiều video hơn là nghe|0
thầy bận nhiều nên cũng nghỉ nhiều hi_vọng thầy có_thể sắp_xếp thời_gian|0
giáo_viên sử_dụng giờ trên lớp hiệu_quả|2
giáo_viên tận_tình dạy truyền_đạt tốt|2
giảng_viên dạy tốt nhiệt_tình|2
giảng_viên tạo cảm_hứng cho sinh_viên học_tập|2
chán|0
thầy nhiệt_tình tận_tâm giúp_đỡ sinh_viên|2
dạy quá chậm quá cặn_kẽ|0
thầy <name> ít cho bài_tập về nhà|0
thầy đôi_khi nói hơi khó hiểu|0
giảng_viên tận_tâm nhiệt_tình hỗ_trợ giải_đáp thắc_mắc môn_học cho sinh_viên|2
nên đi sâu vào vấn_đề giúp sinh_viên hiểu tốt môn_học và nên có những ứng_dụng cụ_thể mà môn_học đem lại|0
làm bài tập|1
cứ ngỡ được 10 điểm là chắc_chắn rồi|0
thầy yêu_cầu quá cao đối_với một sinh_viên có_thể tiếp_thu mọi kỹ_năng cần truyền_đạt vào một đồ_án|0
thêm phòng thiết_bị để thực_hành|0
dễ hiểu đầy_đủ|2
điểm|1
giáo_viên tốt_bụng vui_tính|2
slide quá khó hiểu nhiều chỗ không giải_thích rõ_ràng đặc_biệt là các bài hướng_dẫn thực_hành|0
nói rõ mục_tiêu cũng như các bước làm của lab khối_lượng bài_tập vừa phải|2
giải_đáp kịp_thời những thắc_mắc cho sinh_viên|2
giảng_viên nhiệt_tình phương_pháp dạy dễ tiếp_cận dễ hiểu|2
